"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2021","1,899.37","1,886.25","1,901.75","1,885.44","","0.63%"
"04/14/2021","1,887.49","1,891.39","1,909.33","1,885.99","","0.10%"
"04/13/2021","1,885.68","1,869.11","1,887.70","1,867.65","","0.98%"
"04/12/2021","1,867.35","1,876.02","1,876.44","1,862.04","","-0.64%"
"04/09/2021","1,879.42","1,878.26","1,880.11","1,865.30","","0.13%"
"04/08/2021","1,877.00","1,855.47","1,879.34","1,854.34","","1.12%"
"04/07/2021","1,856.24","1,872.05","1,875.58","1,851.58","","-0.72%"
"04/06/2021","1,869.78","1,868.52","1,878.49","1,867.14","","-0.18%"
"04/05/2021","1,873.12","1,855.95","1,874.91","1,855.03","","1.00%"
"04/02/2021","1,854.50","1,854.91","1,855.86","1,854.07","","0.21%"
"04/01/2021","1,850.66","1,821.02","1,856.48","1,814.73","","1.79%"
"03/31/2021","1,818.03","1,797.95","1,825.60","1,796.42","","0.95%"
"03/30/2021","1,800.87","1,795.82","1,804.52","1,779.27","","0.15%"
"03/29/2021","1,798.24","1,826.06","1,827.47","1,794.20","","-1.51%"
"03/26/2021","1,825.87","1,800.46","1,826.18","1,797.22","","1.65%"
"03/25/2021","1,796.25","1,791.18","1,799.92","1,763.42","","0.37%"
"03/24/2021","1,789.62","1,825.45","1,830.01","1,789.15","","-2.32%"
"03/23/2021","1,832.10","1,868.93","1,870.34","1,827.88","","-2.16%"
"03/22/2021","1,872.50","1,859.56","1,881.47","1,855.82","","0.57%"
"03/19/2021","1,861.84","1,854.41","1,872.19","1,840.17","","0.22%"
"03/18/2021","1,857.72","1,903.90","1,907.92","1,854.89","","-2.15%"
"03/17/2021","1,898.56","1,892.10","1,907.83","1,868.30","","0.28%"
"03/16/2021","1,893.27","1,901.68","1,916.47","1,884.51","","-0.23%"
"03/15/2021","1,897.72","1,878.20","1,898.36","1,877.58","","0.98%"
"03/12/2021","1,879.37","1,887.89","1,888.48","1,852.99","","-0.11%"
"03/11/2021","1,881.48","1,823.82","1,884.88","1,822.74","","3.41%"
"03/10/2021","1,819.51","1,814.04","1,847.36","1,812.00","","0.38%"
"03/09/2021","1,812.71","1,759.76","1,822.07","1,758.03","","2.97%"
"03/08/2021","1,760.42","1,794.84","1,805.35","1,759.34","","-2.23%"
"03/05/2021","1,800.56","1,796.21","1,807.87","1,738.35","","-0.15%"
"03/04/2021","1,803.35","1,851.06","1,857.12","1,781.55","","-2.86%"
"03/03/2021","1,856.50","1,898.43","1,905.35","1,855.49","","-2.22%"
"03/02/2021","1,898.74","1,934.69","1,944.24","1,898.63","","-2.08%"
"03/01/2021","1,939.08","1,891.54","1,939.36","1,889.77","","2.66%"
"02/26/2021","1,888.87","1,893.75","1,904.19","1,866.36","","-0.85%"
"02/25/2021","1,905.04","1,957.96","1,961.17","1,895.49","","-2.44%"
"02/24/2021","1,952.71","1,929.85","1,955.81","1,906.22","","0.76%"
"02/23/2021","1,938.02","1,968.69","1,969.13","1,884.38","","-1.49%"
"02/22/2021","1,967.38","2,009.55","2,011.23","1,964.76","","-2.07%"
"02/19/2021","2,009.01","1,991.93","2,021.02","1,989.49","","0.69%"
"02/18/2021","1,995.23","2,017.69","2,019.76","1,976.20","","-1.41%"
"02/17/2021","2,023.69","2,057.68","2,058.25","2,005.64","","-1.66%"
"02/16/2021","2,057.80","2,071.90","2,082.08","2,050.82","","-0.54%"
"02/15/2021","2,069.04","2,067.78","2,070.16","2,067.21","","0.16%"
"02/12/2021","2,065.65","2,043.46","2,069.38","2,033.27","","1.49%"
"02/11/2021","2,035.35","2,030.02","2,046.13","2,014.86","","0.27%"
"02/10/2021","2,029.92","2,035.95","2,052.41","2,012.31","","-0.27%"
"02/09/2021","2,035.45","2,025.01","2,036.82","2,014.05","","0.64%"
"02/08/2021","2,022.48","1,987.91","2,022.48","1,987.38","","1.84%"
"02/05/2021","1,986.00","1,962.69","1,986.93","1,962.09","","1.15%"
"02/04/2021","1,963.43","1,937.82","1,963.68","1,937.49","","1.02%"
"02/03/2021","1,943.51","1,928.22","1,950.44","1,926.70","","0.96%"
"02/02/2021","1,925.01","1,927.21","1,939.13","1,910.04","","0.20%"
"02/01/2021","1,921.09","1,881.38","1,925.80","1,879.40","","2.42%"
"01/29/2021","1,875.70","1,907.16","1,923.57","1,871.81","","-2.05%"
"01/28/2021","1,915.04","1,982.38","1,984.52","1,905.02","","-3.63%"
"01/27/2021","1,987.26","1,969.13","2,021.45","1,937.41","","0.88%"
"01/26/2021","1,970.02","1,963.15","1,977.86","1,949.47","","0.21%"
"01/25/2021","1,965.86","1,946.24","2,014.99","1,942.26","","1.12%"
"01/22/2021","1,944.04","1,929.91","1,945.39","1,915.89","","0.69%"
"01/21/2021","1,930.78","1,926.09","1,936.54","1,920.76","","0.35%"
"01/20/2021","1,923.99","1,899.84","1,934.09","1,897.94","","1.56%"
"01/19/2021","1,894.53","1,850.30","1,896.06","1,848.57","","2.67%"
"01/18/2021","1,845.32","1,845.08","1,846.43","1,841.92","","-0.18%"
"01/15/2021","1,848.60","1,868.31","1,875.45","1,845.47","","-1.22%"
"01/14/2021","1,871.49","1,834.62","1,873.11","1,823.37","","1.93%"
"01/13/2021","1,836.09","1,839.23","1,843.73","1,831.28","","0.13%"
"01/12/2021","1,833.63","1,836.54","1,843.17","1,829.85","","-0.19%"
"01/11/2021","1,837.12","1,834.12","1,842.82","1,816.61","","-0.03%"
"01/08/2021","1,837.65","1,816.47","1,846.39","1,814.55","","1.53%"
"01/07/2021","1,809.93","1,766.99","1,811.53","1,762.51","","2.84%"
"01/06/2021","1,759.92","1,767.70","1,777.13","1,749.53","","-0.45%"
"01/05/2021","1,767.92","1,748.62","1,769.78","1,746.80","","1.12%"
"01/04/2021","1,748.35","1,755.16","1,778.26","1,736.12","","-0.32%"
"12/31/2020","1,754.01","1,757.99","1,758.50","1,747.11","","-0.19%"
"12/30/2020","1,757.43","1,743.88","1,761.06","1,741.82","","0.99%"
"12/29/2020","1,740.13","1,748.93","1,763.29","1,736.04","","-0.09%"
"12/28/2020","1,741.73","1,743.96","1,759.66","1,741.45","","-0.05%"
"12/24/2020","1,742.68","1,743.87","1,748.04","1,738.58","","0.20%"
"12/23/2020","1,739.25","1,732.96","1,748.69","1,731.57","","0.45%"
"12/22/2020","1,731.41","1,715.55","1,733.71","1,713.39","","0.64%"
"12/21/2020","1,720.45","1,725.96","1,726.82","1,695.73","","-0.45%"
"12/18/2020","1,728.23","1,727.14","1,733.79","1,720.50","","-0.04%"
"12/17/2020","1,728.91","1,707.05","1,728.91","1,706.01","","1.32%"
"12/16/2020","1,706.38","1,698.67","1,708.68","1,697.48","","0.53%"
"12/15/2020","1,697.38","1,679.75","1,698.29","1,679.28","","0.97%"
"12/14/2020","1,681.07","1,677.93","1,693.19","1,677.04","","0.27%"
"12/11/2020","1,676.50","1,679.18","1,681.97","1,662.36","","-0.20%"
"12/10/2020","1,679.81","1,671.25","1,681.95","1,654.21","","0.27%"
"12/09/2020","1,675.35","1,694.58","1,706.19","1,668.44","","-1.03%"
