time,low,high,open,close,volume
2020-12-27,100.885,114.173,107.723,107.278,36728.95450908
2020-12-28,104.106,110.844,107.278,106.96,23186.27141177
2020-12-29,99.054,108.616,106.95,103.88,28353.83328679
2020-12-30,99.0,105.742,103.927,101.755,22058.54273682
2020-12-31,96.883,102.412,101.88,99.759,21718.81788937
2021-01-01,86.023,102.999,99.905,88.401,105354.84169236
2021-01-02,85.0,93.99,88.29,87.115,113528.14034715
2021-01-03,85.219,92.309,87.067,89.832,74009.89203498
2021-01-04,83.821,97.516,89.892,89.0,86944.935031
2021-01-05,85.702,90.45,89.0,89.411,45203.40463094
2021-01-06,88.122,95.858,89.438,94.484,88805.9613417
2021-01-07,92.049,109.0,94.5,99.096,125161.02067034
2021-01-08,91.18,100.857,99.212,96.365,64349.25101808
2021-01-09,94.076,111.651,96.359,110.272,62937.84915796
2021-01-10,110.377,194.124,110.518,146.8,356776.19325425
2021-01-11,103.803,148.558,146.8,125.413,180689.2075017
2021-01-12,116.06,135.8,125.201,128.45,89922.66413253
2021-01-13,119.901,137.382,128.281,133.175,60809.01411898
2021-01-14,129.208,137.2,133.194,132.738,55041.55038674
2021-01-15,117.0,135.99,132.75,124.34,43805.71868833
2021-01-16,121.5,132.727,124.511,124.746,33752.96879889
2021-01-17,120.108,127.071,124.7,124.355,25908.50134593
2021-01-18,121.001,132.4,124.356,129.288,33575.90920525
2021-01-19,123.268,134.613,129.595,124.635,36330.39853558
2021-01-20,111.708,127.192,124.596,121.5,48895.90231614
2021-01-21,99.011,121.997,121.434,99.621,65655.0689306
2021-01-22,93.0,108.7,99.485,104.78,118473.1379836
2021-01-23,102.078,109.908,104.933,105.395,45180.26495965
2021-01-24,103.413,111.0,105.244,106.314,40756.0120492
2021-01-25,104.69,113.326,106.343,104.69,56007.64074178
2021-01-26,100.356,106.226,104.596,105.0,32781.44621444
2021-01-27,94.225,105.0,105.0,96.571,38837.35532004
2021-01-28,95.05,105.872,96.733,103.073,46759.7651606
2021-01-29,101.149,110.409,103.076,104.596,58527.11723098
2021-01-30,100.497,106.247,104.611,105.351,27845.44934868
